date,phase,model,tokens_in,tokens_out,cost_usd
2023-10-01,Phase 1,AI Writing Coach,100,80,0.01
2023-10-02,Phase 1,AI Writing Coach,150,120,0.015
2023-10-03,Phase 1,AI Writing Coach,200,180,0.02
2023-10-04,Phase 1,AI Writing Coach,250,230,0.025
2023-10-05,Phase 1,AI Writing Coach,300,290,0.03
2025-05-28 01:53:03,phase1,gpt-4o-mini,23,713,0.001725
2025-05-28 12:52:14,phase1,gpt-4o-mini,34,47,0.000133
2025-05-28 12:52:16,phase1,gpt-4o-mini,38,106,0.000277
2025-05-28 12:52:19,phase1,gpt-4o-mini,31,106,0.000273
2025-05-28 12:55:39,phase1,gpt-4o-mini,34,42,0.000121
2025-05-28 12:55:41,phase1,gpt-4o-mini,38,97,0.000256
2025-05-28 12:55:43,phase1,gpt-4o-mini,31,120,0.000307
2025-05-28 13:11:09,phase1,gpt-4o-mini,34,45,0.000128
2025-05-28 13:11:12,phase1,gpt-4o-mini,38,87,0.000232
2025-05-28 13:11:14,phase1,gpt-4o-mini,31,110,0.000283
2025-05-28 13:43:39,phase1,gpt-4o-mini,34,40,0.000116
2025-05-28 13:43:41,phase1,gpt-4o-mini,38,76,0.000205
2025-05-28 13:43:44,phase1,gpt-4o-mini,31,107,0.000275
2025-05-28 13:43:57,phase1,gpt-4o-mini,34,37,0.000109
2025-05-28 13:43:59,phase1,gpt-4o-mini,38,77,0.000208
2025-05-28 13:44:01,phase1,gpt-4o-mini,31,107,0.000275
2025-05-28 13:44:04,phase1,gpt-4o-mini,27,118,0.000299
2025-05-28 13:44:19,phase1,gpt-4o-mini,34,34,0.000102
2025-05-28 13:44:21,phase1,gpt-4o-mini,38,91,0.000241
2025-05-28 13:44:23,phase1,gpt-4o-mini,31,98,0.000254
2025-05-28 13:44:27,phase1,gpt-4o-mini,27,168,0.000419
2025-05-28 13:44:38,phase1,gpt-4o-mini,34,38,0.000112
2025-05-28 13:44:40,phase1,gpt-4o-mini,38,71,0.000193
2025-05-28 13:44:42,phase1,gpt-4o-mini,31,90,0.000235
2025-05-28 13:44:44,phase1,gpt-4o-mini,27,155,0.000388
2025-05-28 13:49:45,phase1,gpt-4o-mini,34,48,0.000136
2025-05-28 13:49:47,phase1,gpt-4o-mini,38,82,0.00022
2025-05-28 13:49:48,phase1,gpt-4o-mini,31,80,0.000211
2025-05-28 13:49:50,phase1,gpt-4o-mini,27,121,0.000307
2025-05-28 13:53:15,phase1,gpt-4o-mini,34,41,0.000119
2025-05-28 13:53:17,phase1,gpt-4o-mini,38,95,0.000251
2025-05-28 13:53:20,phase1,gpt-4o-mini,31,109,0.00028
2025-05-28 15:26:54,phase1,gpt-4o-mini,34,60,0.000164
2025-05-28 15:26:57,phase1,gpt-4o-mini,38,72,0.000196
2025-05-28 15:27:00,phase1,gpt-4o-mini,31,113,0.00029
2025-05-28 15:27:43,phase1,gpt-4o-mini,27,162,0.000405
2025-05-28 16:08:23,phase1,gpt-4o-mini,34,49,0.000138
2025-05-28 16:08:25,phase1,gpt-4o-mini,38,69,0.000188
2025-05-28 16:08:28,phase1,gpt-4o-mini,31,102,0.000263
2025-05-28 16:08:31,phase1,gpt-4o-mini,27,106,0.000271
2025-05-28 16:48:39,model_comparison_demo,gpt-4o-mini,28,35,0.000101
2025-05-28 16:48:47,model_comparison_demo,gpt-4o-mini,25,238,0.000586
